# t	<x>	<p>	C(t)
0.0	0.9986797389857407	(0.010878791996423803+0.02216391513136901j)	0.5067784086587052
0.2	2.5778544636299725	(0.24157201346335924+0.03735155785084132j)	0.5067784086587052
0.4	3.6044244193518846	(-0.10962949869251756-0.07517914148284582j)	0.5067784086587053
0.6000000000000001	4.115078704192947	(-0.051320670943250025-0.30670140533937j)	0.5067784086587054
0.8	4.7480795354989995	(0.17096562028455142-0.15743676286890962j)	0.5067784086587055
1.0	4.789832779796101	(0.9328882148974463-1.1356068758670042j)	0.5067784086587056
1.2000000000000002	5.122554302044903	(-0.3234600055202203+0.16761503415529608j)	0.5067784086587057
1.4000000000000001	5.279730738990229	(0.09850892254232031+0.12220187393042138j)	0.5067784086587058
1.6	5.433831783433871	(-0.4102547857417032-0.13391829980640402j)	0.506778408658706
1.8	5.449723525227391	(-0.2958986458378902-0.31157831824651216j)	0.5067784086587062
2.0	5.532454324335296	(0.5721729199261418+0.5266928321916399j)	0.5067784086587062
2.2	5.557451423744979	(-0.19263785229152638-0.9964745520608785j)	0.5067784086587063
2.4000000000000004	5.4971849043963985	(-0.0681874571094171-0.020559889194578993j)	0.5067784086587064
2.6	5.752491366664846	(2.8304802554405115-0.6493595480309654j)	0.5067784086587064
2.8000000000000003	5.768170619926837	(0.15088972362692873+0.47304976207856536j)	0.5067784086587065
3.0	5.647000643592847	(0.793674316691935+0.057241488171926945j)	0.5067784086587066
3.2	5.854425354786835	(0.18697396205379946+0.23174441441841223j)	0.5067784086587067
3.4000000000000004	5.620290478128263	(0.4613199059999734-0.3687148985512233j)	0.5067784086587068
3.6	5.973228732572492	(-0.13937740286947398+0.2380589695249833j)	0.506778408658707
3.8000000000000003	5.8772146163458405	(0.7747577718105574-0.5236540166702933j)	0.5067784086587072
4.0	5.619753413048471	(-0.6574685075119279+0.2976902434073277j)	0.5067784086587073
4.2	5.693148523495892	(-0.6672317249960483+0.38114624328936114j)	0.5067784086587074
4.4	5.979460783338772	(-0.8477320217398715+0.06263126541324504j)	0.5067784086587075
4.6000000000000005	5.717239362940317	(0.6066575035822318-0.8185623228610664j)	0.5067784086587075
4.800000000000001	5.592535714865939	(0.056808095488126154+0.3718142081475423j)	0.5067784086587076
5.0	5.879855214349984	(-1.6165199469046088-1.1181261989678106j)	0.5067784086587078
5.2	6.02806444574789	(-1.6652846196117708-1.3060515711889225j)	0.5067784086587079
5.4	5.800860381279999	(0.5183924305973325+0.7928339000818013j)	0.506778408658708
5.6000000000000005	5.810386173401591	(-0.6243258163853366-0.14487814080174174j)	0.5067784086587083
5.800000000000001	6.017841251332564	(-0.5027307976965307-0.17761258891981335j)	0.5067784086587084
6.0	5.817234754281705	(-0.000443649285407697-0.4977653394464494j)	0.5067784086587085
6.2	5.7646546258515485	(-0.013287613653726113-0.08495024860631055j)	0.5067784086587086
6.4	6.157238596888487	(0.9656154358499932-1.0604522915331027j)	0.5067784086587087
6.6000000000000005	6.07841604810597	(0.07538484466955088-0.33336647020736604j)	0.5067784086587088
